entities,source
"[[""Block_chain"",90],[""Machine_learning"",90],[""Unmanned_aerial_vehicle"",60],[""Genomics"",70]]","Dimitra is a global Agtech company with a mission to help smallholder farmers across the world.  Dimitra works with governments, farming cooperatives, ag corps, NGOs, and for-profit organizations. The Dimitra platform is built on blockchain technology and incorporates mobile technology, machine learning, IoT devices, satellite and drone imagery, genomics, and advanced farming research.  Through our data-driven approach, Dimitra helps farmers increase yield, reduce expenses, and mitigate risk.  Dimitra believes that every smallholder farmer should, benefit from simple, beautiful, and useful technology regardless of economic standing."
"[[""Genomics"",70],[""Bioinformatics"",100],[""Data_science"",70],[""Pam_Willis"",60],[""University_of_Washington_School_of_Medicine"",60],[""Fred_Hutchinson"",90],[""Seattle"",90],[""Jay_Shendure"",90],[""Precision_medicine"",100],[""Cancer"",70]]","BROTMAN BATY INSTITUTE focuses on basic and applied research in genomics, bioinformatics, and data science to diagnose and cure disease. The Institute was founded in 2017 by philanthropic sponsors Jeff and Susan Brotman, and Dan and Pam Baty in collaboration with UW Medicine, The Fred Hutchinson Cancer Research Center, and Seattle Children’s. The Institute led by Dr. Jay Shendure was formed to accelerate both the basic sciences of precision medicine and the delivery of benefits to patients. The Institute organizes world-renowned investigators in genomics, bioinformatics and data science to share centralized platforms of advanced technologies and equipment in a uniquely collaborative manner. The Institute's aim is to develop insights and knowledge that will more precisely diagnose and treat people with cancer, rare childhood diseases, Alzheimer’s, and other conditions."
"[[""Genome"",90],[""Machine_learning"",90],[""Software_architecture"",70],[""Artificial_intelligence"",90],[""Stevens_Stadium"",90]]","Ordr develops an AI-based systems control engine for the hyper-connected enterprise. Ordr's control engine is a purpose-built solution to fully map the device flow genome at massive scale, using machine learning to continuously inspect, classify, and baseline the behavior of every device. Its software architecture is unique in its ability to process enormous quantities of data in real-time, using AI to provide closed loop security, generating policies for each class of device and implementing those policies through the organization’s existing multi-vendor network and security infrastructure. Ordr was founded on 2015 and is headquartered in Santa Clara, California."
"[[""RNA_interference"",70],[""Drug_discovery"",80],[""Artificial_intelligence"",90],[""Inflammation"",70]]",Pre-clinical RNAi drug discovery research startup using a proprietary multi-wheel AI research platform to identify synthetic RNAi molecules as drug targets for inflammation and pain.
"[[""Artificial_intelligence"",90]]",A platform that leverages AI technologies to help individuals manage and prevent chronic diseases
"[[""Machine_learning"",90],[""Genetic_testing"",70],[""Genetics"",60]]","GenomeSmart is a Machine Learning based genetic risk assessment platform. Based on a person’s profile the recommendation engine generates a personalized report matching them to the right type of genetic tests and gives other relevant details. It also serves as an education platform simplifying the understanding of genetic testing for all. Initially launched with a focus on hereditary cancers and reproductive genetics we have a big roadmap. We assist people by serving them through Hospital systems, Genetic testing labs, Insurance companies and Enterprises. Our whole focus is on prevention, thus catching things early and educating people about the value of genetic testing."
"[[""Genomics"",70],[""Bioinformatics"",100],[""Artificial_intelligence"",90],[""Human_Genome_Project"",80],[""Precision_medicine"",100],[""United_States"",70]]","Brogent International is a genomics and bioinformatics healthcare company that pioneers in bioinformatics and artificial intelligence. It harnesses the power of the human genome and other real-world health data to deliver precision medicine. The company's bioinformatics and AI experts specialize in advanced data analytics to determine personalized therapies and develop accelerated discovery pathways. Brogent International was founded in 2017 and is headquartered in New York, NY, United States."
"[[""Computational_biology"",90],[""Robotics"",60],[""Cloud_computing"",100],[""Data_science"",70],[""Machine_learning"",90],[""Functional_analysis"",90],[""Genomics"",70]]","enoLogica’s platform combines biology, robotics, cloud computing, data science and machine learning to offer new tools for quantitative cell biology. We will bring current cell functional analysis methods up to the performance of modern genomics by decreasing costs by 95% and increasing speed by 10x."
"[[""Bioinformatics"",80],[""Biotechnology"",90],[""Data_science"",70],[""Computational_chemistry"",100],[""Egypt"",90]]","Majecules is a research-based start-up in the field of computational molecular biosciences with focus on Drug Discovery and Bioinformatics, serving pharmaceutical, biotechnology and academic entities on the individual and institutional level. Majecules bridges the gap between education, research and industry by providing contract research services in Computer-Aided Drug Design (CADD), Genomic data science, computational chemistry and their related fields. Besides, our team of researchers alongside with our interdisciplinary network of partners cooperate in various research projects in order to reduce time, cost and effort of translating publication-level research to patents, prototypes and products. Furthermore, we will launch the first research incubator program to connect young researchers with suitable academic PIs (principle investigator) to promote collaborative research in Egypt and the MENA region. Also, we develop user-friendly software solutions designed to upgrade and complement open- source software utilized by researchers and experts in the field. Finally, Majecules offers smart educational courseware which provides the user with interactive and personalized research-based education, in additon to a series of training courses & practical workshops to educate and raise the societal awareness in Egypt and the MENA region."
"[[""Microfluidics"",90],[""Stanford_University"",90],[""Menlo_Park,_California"",100],[""Artificial_intelligence"",90],[""Inherent_bias"",90]]","Deepcell offers AI-powered imaging and microfluidics platform that identifies and isolates viable cells based on morphological distinctions for use in translational research, diagnostic testing, and therapeutics. It is spun out of Stanford University in 2017 and is based in Menlo Park, California. The company has created unique, microfluidics-based technology that uses continuously learning AI to classify cells based on detailed visual features and sort them without inherent bias."
"[[""Big_data"",80],[""Hardware_acceleration"",60],[""Field-programmable_gate_array"",100],[""Apache_Hadoop"",100],[""DNA_sequencing"",90],[""Taipei"",90],[""Taiwan"",90]]","WASAI Technology is a big data acceleration platform that accelerates system architecture and infrastructure. It delivers expert patented solutions to problems for large data centers with high quality and performance. It focuses on FPGA accelerators for Hadoop, Spark, Hive, and DNA sequencing algorithms. WASAI Technology creates highly competitive and unique products to meet the customers’ needs. WASAI Technology was founded on 2015 and is headquartered in Taipei, Taiwan."
"[[""Artificial_intelligence"",90],[""DNA"",90]]","AI Genetics provides AI-based genomic testing for DNA analytics, lab testing, as well as provision of DNA collection kits."
"[[""Singapore"",90],[""Venture_capital"",80],[""Moat"",70],[""Inflection_point"",100],[""Planet"",70],[""Israel"",90],[""Estonia"",90],[""Artificial_intelligence"",90],[""Deep_learning"",80],[""Block_chain"",90],[""Microsoft_Edge"",90]]","Decacorn is a Singapore domiciled cross-border venture capital fund which curates high impact, globally relevant businesses that have rapid adoption curve and use technology as a defensible moat; businesses that have crossed an inflection point and are led by resourceful founders with a mission to disrupt large market opportunities, either existing or newly enabled, with the aim to make our planet shades better than what we inherited from our parents. We invest in tech-led disruptive innovations from key startup destinations, Singapore, Israel, USA, Estonia, etc., enabling us to benchmark best-in-class mix of technologies and proven business models for high-quality curation that generates superior alpha. Decacorn believes that technology investing involves curating companies that harness key technologies of our time, namely: Robotics & Automation,  Genomics, Energy & Storage, AI & Deep Learning, Blockchain, and Cloud & Edge Computing. We Invest across the spectrum from bootstrapped to growth stage by executing a carefully crafted bar-belled strategy in order to balance the risk with rewards while generating exit opportunities at frequent intervals. In just over 3 years, Decacorn has made two dozen investments and has clocked 5 exits.  Some of Decacorn’s early investments have become unicorns while a few others currently in the mid-stage are expected to join the unicorn club in their next financing round."
"[[""B-tree"",100],[""Logarithm"",90],[""Database"",60],[""Exabyte"",80],[""Gigabyte"",60]]","Since 1970, we take as granted that the only possible indexation methodology is the B-Tree. While it's the oldest thing in computing, or even the foundation of it, it's becoming our biggest problem nowadays.  The problem is something mentioned 45 years ago by the 2 inventors; ''The cost of processing a find operation grows as the logarithm of the file size.''   Currently, we are generating 10x more data, but still use a mathematical formula that doesn't make sense anymore. We can't build the future on something that the cost is exponential.  This is why SanDB is the first database in the world using a new indexation methodology which is not impacted by the file size. This property invention redefine everything we know about computing and even beyond. For the first time ever, you can go across exabytes of data at the same speed you will on 10 GB of data. Our methodology will never be impacted by the amount of data."
"[[""Gero"",80],[""Artificial_intelligence"",90]]",GERO is an AI Drug Discovery company created to solve chronic diseases
"[[""Intelligence"",60],[""Artificial_intelligence"",90],[""Machine_learning"",90]]","Sema4 is a patient-centered health intelligence company dedicated to advancing healthcare through data-driven insights. Sema4 is transforming healthcare by applying AI and machine learning to multidimensional, longitudinal clinical and genomic data to build dynamic models of human health and defining optimal, individualized health trajectories. Centrellis™, our innovative health intelligence platform, is enabling us to generate a more complete understanding of disease and wellness and to provide science-driven solutions to the most pressing medical needs. Sema4 believes that patients should be treated as partners, and that data should be shared for the benefit of all."
"[[""Human_genome"",90],[""Graphics_processing_unit"",90],[""Hardware_acceleration"",60],[""Machine_learning"",90]]","Parabricks provides high performance genomic analysis that can analyze whole human genome under an hour compared to days. Using state-of-the-art GPU acceleration and machine learning, users can significantly increase the throughput of their centers. By providing patient treatment based on their genomic variations, such personalized treatment will transform healthcare practices.  "
"[[""University_of_California"",90]]","Headquartered at UC Berkeley, the CITRIS Foundry accelerator supports entrepreneurs who are working to commercialize cutting-edge technology within their scientific field. Our founders are scientists, engineers, builders, and hackers from top-tier research universities."
"[[""Infection"",90],[""Pathogen"",80],[""DNA"",90],[""Machine_learning"",90],[""Database"",60],[""Sepsis"",100],[""Life_expectancy"",60],[""Septic_shock"",100],[""Antibiotics"",90],[""Carpet_bombing"",90],[""Disease"",90],[""Mortality_rate"",60],[""Antimicrobial_resistance"",100]]","The future of infectious disease diagnostics starts at Day Zero. By using whole-genome sequencing (WGS) and our proprietary enabling technologies, Day Zero is creating a new class of sequencing-based in-vitro diagnostics that generates clinically actionable data at scale. Our technologies include novel sample preparation methods enabling unprecedented ultra-high enrichment of pathogen DNA for sequencing directly from clinical samples, machine learning algorithms that provide clinically actionable diagnostic results, and a world-class database of WGS and drug efficacy profiles. Day Zero Diagnostics is on a mission to transform the way infectious disease diagnostics are performed by generating the stream of real-time sequencing data required to change how we track, manage and combat infectious diseases. With an enormous unmet clinical and economic need, we are targeting bloodstream infections and sepsis for our first application. The life expectancy of a patient with septic shock is 24 hours without fast effective antibiotic treatment. However, even when successful, current diagnostics take 2-5 days to identify the pathogen AND provide its antibiotic susceptibility profile. The lack of rapid, accurate, and comprehensive diagnostics, forces physicians to “carpet bomb” patients with severe infections with powerful, yet toxic, broad-spectrum antibiotics, which is not only ineffective in many cases but can also lead to significant morbidity and mortality. Day Zero delivers a complete diagnosis, including both the species and antibiotic resistance profile, in hours vs. days, enabling the physician to use a targeted treatment on day zero of hospital admission and resulting in better patient outcomes and cost savings."
"[[""Biotechnology"",90],[""Human_microbiota"",80],[""Cancer"",70],[""Autoimmune_disease"",90],[""Artificial_intelligence"",90],[""Computational_biology"",90],[""Statistical_power"",90],[""Kovi"",60],[""Vala_clan"",70],[""Barghouti_clan"",100],[""Millbrae,_California"",90]]","VastBiome is a biotechnology company that mines microbiome drugs to treat cancer and autoimmune disease. The company employs its proprietary methods in genomic sequencing, artificial intelligence, and synthetic biology to discover biomarkers and therapeutics for challenging immunologic disorders. It offers a platform that aims to aggregate public and private data in order to generate a microbiome database and leverages analytical processes to discover connections between distinct and biologically related data in order to increase statistical power and drive discovery. In addition, the platform can be used to identify novel biomarkers to risk-stratify patients and predict clinical outcomes. It was co-founded by Peter McCaffrey, Kovi Bessoff, Ayin Vala, and Kareem Barghouti in Millbrae, California in 2018."
"[[""Artificial_intelligence"",90],[""Cancer"",70],[""Generative_adversarial_network"",100],[""Reinforcement_learning"",100],[""Inductive_transfer"",100],[""Meta_learning"",60],[""Drug_discovery"",80],[""Medicine"",60],[""Fibrosis"",90],[""Amyotrophic_lateral_sclerosis"",60],[""Diabetes_mellitus"",90],[""Sarcopenia"",70],[""Nutraceutical"",90],[""Bioinformatics"",100],[""Deep_learning"",100]]","Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases. It pioneered the applications of the generative adversarial networks (GANs), reinforcement learning, transfer learning, and meta-learning for the generation of novel molecular structures for the diseases with known and unknown targets, and, unlike the other companies in the field, is developing the end-to-end pipeline covering every step of drug discovery, clinical trials analysis, and digital medicine. Insilico Medicine is pursuing internal drug discovery programs in cancer, dermatological diseases, fibrosis, Parkinson's Disease, Alzheimer's Disease, ALS, diabetes, sarcopenia, and aging. Through a partnership with Life Extension, the company launched a range of nutraceutical products, which were compounded using advanced bioinformatics techniques and deep learning approaches. It also provides a range of consumer-facing applications including Young.AI."
"[[""International"",90],[""Biotechnology"",90],[""Genome_editing"",70],[""CRISPR"",100],[""Artificial_intelligence"",90],[""Database"",60],[""Pharmaceutical_industry"",100],[""Drug_discovery"",80],[""Functional_genomics"",70],[""Fast_Company_(magazine)"",90],[""Kairos"",60],[""South_by_Southwest"",80]]","Desktop Genetics is an international biotechnology company established in 2012 to help researchers discover and treat the root genetic causes of human disease. Today, Desktop Genetics is a recognised leader in genome editing technology, staffed by dedicated team of genome editing experts, bioinformaticians and data scientists, driven by the real-world impact of CRISPR technology. They have invested four years developing their core technology, DESKGEN AI, trained on the largest database of genome editing data in the world. DESKGEN AI powers their flagship DESKGEN CRISPR Library product range, which enables the work of their pharma, biotech and academic customers working in drug discovery and functional genomics.  Desktop Genetics' tools and technologies are used by over 1800 organisations all over the world, and their projects contribute directly to several key partnerships to bring CRISPR into the clinic. The company has received awards from Fast Company, Kairos 50 and SxSW Interactive."
"[[""Drug_discovery"",80],[""Artificial_intelligence"",90],[""Machine_learning"",90],[""Neuroscience"",90],[""Computational_genomics"",70],[""Neurodegeneration"",100]]","Verge Genomics transforms drug discovery with artificial intelligence. Verge was founded by a unique combination of the field's top machine learning experts and seasoned neuroscience drug developers. Together, they share the vision that exponential advances in computational genomics combined with new insights into neuroscience has created a breakthrough opportunity to discover drugs that dramatically improve the lives of patients suffering from neurodegenerative disease."
"[[""Hygieia"",90],[""Precision_medicine"",100],[""Genetic_testing"",60],[""Machine_learning"",90],[""Mathematical_optimization"",80]]","Hygea Precision Medicine is a culture of collaboration and innovation working on advanced technology that strives to improve healthcare. The company develops a software platform that enables providers to personalize patient care through genetic testing and empowers patients to take an active role in their healthcare. Hygea Precision Medicine's mission is to empower providers and patients to integrate precision medicine into better healthcare by providing an intuitive software system that combines clinical guidance, genomic knowledge, and machine learning driven optimization to manage, store, visualize, and share genomic data and test results."
"[[""Drug_discovery"",80],[""Pharmaceutical_industry"",100],[""Consumer_electronics"",90],[""Genomics"",70],[""Artificial_intelligence"",90],[""Machine_learning"",90],[""Bangalore"",90],[""Karnataka"",90]]","Curadigm Datalytics is a data curation company that empowers discovery and translational researchers with real-time data. The company works with diversified customer segments including, pharma, biotech, academics, manufacturing, automotive, and consumer electronics. It delivers human-curated data for scientific research, genomics, drug discovery; as well as generates high-quality training data for the AI/Machine Learning models. Curadigm Datalytics was founded in Bangalore, Karnataka in 2018."
"[[""Biomatters"",100],[""Omics"",60],[""Cloud_computing"",90],[""Genomics"",70],[""DNA"",90],[""RNA"",90],[""Protein"",90],[""Database"",60],[""Computational_biology"",90],[""Microbiology"",90],[""Virology"",90]]","Biomatters creates applications for omics analysis. Our WebApp Development Group builds production quality, public- and private cloud based responsive web applications to deliver the highest usability and visualized insight for applied genomics workflows. By collaborating with clinical and molecular diagnostics developers, we build the platforms that crunch their data and deliver results reports to their customers. We turn genomic research workflows into production-ready, regulatory-compliant diagnostic pipelines. Geneious, our desktop app for research biologists, features tools for DNA/RNA/protein sequence analysis, data management, database searching, and publication-quality image generation. Geneious is used by university, government, and medical research labs worldwide in disciplines such as agricultural genomics, evolutionary biology, biofuels, synthetic biology, microbiology, virology, and next-gen sequence analysis."
"[[""Teratology"",60],[""Lior"",100],[""Boston"",90],[""Massachusetts"",90]]","FDNA develops facial dysmorphology novel analysis technology solutions for healthcare professionals. It offers a genetic search and reference tool called Face2Gene that facilitates detection of facial dysmorphic features and recognizable patterns of human malformations from a facial photo to present a list of matching syndromes with up-to-date references.  FDNA's solution enables users to upload photos, search and review genetic resources, and analyze results and offers customized reports and visualization tools. Lior Wolf and Moti Shniberg founded it in 2011, with its headquarters in Boston in Massachusetts."
"[[""Modern_Healthcare"",100],[""Machine_learning"",90],[""Artificial_intelligence"",90],[""Genomics"",90]]","EvokAI is a MedTech AI-powered company dedicated to the development of transformational and innovative technologies for the modern healthcare sector. It deploys machine learning models to search medical data and uncover insights to help improve health outcomes, patient experiences, drug development, preclinical and clinical decisions and provide more accurate diagnoses. EvokAI tailors its AI algorithms across the whole healthcare system, from hospitals, private clinics, research institutions, pharmaceutical companies, and contract research organizations, to medical professionals, patients, and healthy individuals aiming at preventing any kind of disease and beyond, protecting the aging genome."
"[[""Gut_flora"",60],[""Machine_learning"",90],[""Artificial_intelligence"",90],[""Microbiota"",90],[""Ulcerative_colitis"",80],[""Companion_diagnostic"",90],[""Autism_spectrum"",70],[""World_Health_Organization"",100],[""South_Korea"",90],[""Medical_test"",60],[""Massachusetts"",90],[""Hospital"",90],[""Comorbidity"",70]]","Precidiag, Inc. employs a proprietary discovery platform to develop targeted therapeutics and companion diagnostics for a variety of diseases and disorders. Precidiag’s novel approach utilizes genomic and functional analyses of human gut microbiota, machine learning, and artificial intelligence technologies to determine and exploit the gut microbiome’s role in the cause and/or progression of certain diseases. The company currently has two areas of therapeutic focus:  1. Ulcerative Colitis (UC) A first-in-class oral therapeutic targeting a cause of this disease. A companion diagnostic profiles patients for prospective treatment, ensuring increased responsiveness and better outcomes. There is no cure for UC and significant unmet needs in the treatment of UC. a substantial percentage of patients who respond to a therapy will lose this response over time. More than 40% of patients with moderate to severe ulcerative colitis do not reach remission with current available therapies. The current standard of care is to treat the symptoms. Precidiag's approach offers to change the paradigm in the treatment of UC - addressing a cause of the disease. 2. Autism Spectrum Disorder (ASD) The World health organization estimates that there are 70 million people with a diagnosis of ASD. Growing insidence rates have been observed around the world. In the US 1 in 54 children will be diagnosed with ASD. In South Korea the rate is 1 in 38 children. There are acute unmet needs in this area. ASD is a behavioral diagnosis and therefore cannot be diagnosed utilizing a medical test. There are no approved therapeutics to address the core symptoms of ASD. Precidiag has, in concert with Massachusetts General Hospital, launched the largest study in the world to study the associations of gut microbiota to the symptoms experienced by individuals with ASD. The company has established associations between gut microbiota and ASD. Our objectives are the development of targeted therapeutics for ASD's core symptoms and common comorbidities experienced by individuals with ASD."
"[[""Genomics"",70],[""Machine_learning"",90],[""New_York_City"",90],[""United_States"",70]]","Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application. The company uses cutting-edge genomics technology and machine learning algorithms to accelerate research and translational clinical genomics in Precisione Medicine.  It was founded in 2018 and is headquartered in New York, United States."
"[[""Cornell_University"",90],[""DNA_sequencing"",90],[""Artificial_intelligence"",90],[""Infection"",90]]",Biotia is a health tech company spun out of Cornell Tech leveraging next-generation sequencing and artificial intelligence for rapid precision infectious disease discovery. Our software and laboratory technology enable clinicians and researchers to guide patient treatment and improve health outcomes.
"[[""Big_data"",80],[""Artificial_intelligence"",90],[""Biometrics"",70],[""Genetics"",60],[""Southlake,_Texas"",90]]","Predictive Fitness is a health and fitness technology company that uses big data, advanced analytics, and artificial intelligence to prescribe and optimize health and fitness activities for individuals based on their individual biometrics, genetics, and activity data. The company's patent-pending algorithms discover key data trends, patterns, and relationships that impact results. It was founded by Jeff Booher, in 2003 Predictive Fitness is based in Southlake, Texas."
"[[""Enthought"",90],[""Artificial_intelligence"",90],[""Hard_science_fiction"",90],[""Discover_Financial"",70],[""Chemistry"",70],[""Physics"",90],[""Biology"",80],[""Interaction"",90],[""Go_(game)"",60],[""Brainpower"",70],[""Lithosphere"",60]]","Enthought transforms the business of science with artificial intelligence. When hard science is mission critical, we’ll help you win in an AI-powered world. Discover What Matters Shape AI strategies to solve hard science. Make just-right investments to transform business-critical chemistry, physics, biology, and beyond. Unlock Hidden Value Turn scientific data into on-target business insights. We help you integrate and interact with masses of data to ask the right questions and unlock the best opportunities. Solve Really Hard Problems Go beyond brainpower to tackle problems that seem out of reach. From analyzing the Earth’s crust to mapping the human genome, speed ahead with AI attuned to the most challenging scientific requirements. Optimize Your People Spur innovation by teaching your best thinkers to command AI. Free scientists and engineers up to ask the right questions, expand the field of inquiry, and make intuitive leaps. At Enthought, we believe we're smarter together. Let's empower your best thinkers to move faster and discover more."
"[[""Artificial_intelligence"",90]]","Excelera Health is a healthcare platform that uses advanced analytics, AI, and genomic data to predict and improve health outcomes."
"[[""Genomics"",90],[""Pharmacogenomics"",100],[""Transcriptomics_technologies"",80],[""Genetics"",60],[""Computational_biology"",90],[""Bioinformatics"",100],[""Software_development"",60],[""DNA_sequencing"",60],[""Human_genome"",90],[""Precision_medicine"",100],[""Artificial_intelligence"",90],[""DNA"",90]]","Intelliseq is a genome informatics company established in 2014 by a group of scientists fascinated with pharmacogenomics and transcriptomics. Its aim is to support whole genome scientific research and genetic diagnosis process. The company consists of an interdisciplinary team of experts in the field of genomics, molecular biology, bioinformatics, and software development. Intelliseq is focused on the development of novel algorithms and bioinformatic tools devoted to interpretation of human DNA sequence. Team created a platform analyzing human genome for precision medicine. Now, Intelliseq is quickly growing to fill a void in a translation of genetics knowledge also into the products market. In 2017, the company introduced to the US market its first mobile application for genetics, MyTraits Sport. The future of Intelliseq solutions is heading in the direction of AI based mobile applications able to predict personalized risk and support treatment decisions. "
"[[""Genomics"",70],[""Precision_medicine"",100],[""Clinical_decision_support_system"",60],[""Artificial_intelligence"",90],[""Genetic_disorder"",70],[""Oncology"",100],[""Oakland_International_Airport"",90],[""Bioinformatics"",100]]","Fabric Genomics is making genomics-driven precision medicine a reality. We provide clinical decision support software that enables clinical labs, hospital systems and country-sequencing programs to gain actionable genomic insights, resulting in faster and more accurate diagnoses and reduced turnaround time. Fabric’s end-to-end genomic analysis platform incorporates proven AI algorithms, and has applications in both hereditary disease and oncology. Headquartered in Oakland, California, Fabric Genomics was founded by industry veterans and innovators with a deep understanding of bioinformatics, large-scale genomics and clinical diagnostics."
"[[""Time"",90],[""Data_curation"",60],[""Microbiota"",80],[""Ecosystem"",70],[""We_Exist"",80],[""Medicine"",60]]","Regeneration is a New Health Care System based on Integrative Medicine, combining the best of evidence based medicine and Machine Intelligence to optimize your health.   Focused on Women and Children's Health through the Circle of Time Approach. Offering a free end to end solution to connect, collect and curate personalized health recommendations based on your laboratory, blood, genomic, microbiome, and wearable health data.  Our mission is to make Healthcare affordable and accessible to every human on earth. By removing Silos and integrating everything into one ecosystem, where the information and patient can flow freely across the landscape.   We do this by catering to people's needs before they need them. Our focus is early detection, prevention, and reversal of chronic disease conditions.  We exist to keep you at peak health. Rather than wait for you to get sick."
