entities,source
"[[""String_instrument"",70],[""Iterated_function"",60],[""Algorithm"",80]]","There is described a method for manipulation, storage, modeling, visualization, and quantification of datasets, which correspond to target strings. An iterative algorithm is used to generate comparison strings corresponding to some set of points that can serve as the domain of an iterative function. The comparison string is scored by evaluating a function having the comparison string and one of the plurality of target strings as inputs. The score measures a relationship between a comparison string and a target string. The evaluation may be repeated for a number of the other target strings. The score or some other property corresponding to the comparison string is used to determine the target string&#39;s placement on a map. The target string may also be marked by a point on a visual display."
"[[""Network_interface_controller"",60],[""Bioinformatics"",100],[""Genotype"",80]]","Systems, platforms, methods and media for providing genomic services are disclosed. In one example, a genomic services platform comprises a network interface through which are received genomic sequence reads derived from a biological sample obtained from a user. The platform also includes a bioinformatics processing pipeline including a read alignment module configured to generate observed sequence data by aligning the sequence reads relative to a reference sequence, a variant calling module operative to identify observed variants in the observed sequence data, and a variant refinement module for producing genotype data including a set of refined variants associated with the user. A variant imputation module produces a set of imputed variants associated with the user, and is configured to receive, as input, at least some of the genotype data and separate the genotype data into high-quality and low-quality genotypes based on a genotype quality."
"[[""Analyte"",70],[""Polymerase_chain_reaction"",80]]","The present invention relates to a method for calibrating a data set of a target analyte in a sample using an analyte-insusceptible signal value, wherein the analyte- insusceptible signal value is provided by a background-representing signal value of the data set or by a total signal change value of a standard data set. The present method is very convenient and effective in removing the inter- and intra-instrument signal variations of data sets. Furthermore, since the present method can be configured in software, the instant method is capable of being applied universally to various analytical instruments (e.g., a real- time PCR instrument) regardless of manufacturer. Accordingly, the method by the present invention would be very useful in diagnostic data analysis."
"[[""Cancer"",70],[""Computer_memory"",60],[""Time_point"",90],[""Machine_learning"",100],[""Algorithm"",80]]","To provide systems and methods for classifying cancer patients based on a predicted therapeutic response.SOLUTION: A recommender 290 generates a therapeutic response prediction or detects a disease by: a step of using a genetic analyzer to generate genetic information, which comprises a step of receiving in computer memory a training dataset comprising, for each of multiple individuals having a disease, genetic information from the individual generated at a first time point and a treatment response of the individual to one or more therapeutic interventions determined at a second, later, time point; and a step of implementing a machine learning algorithm using the dataset to generate at least one computer implemented classification algorithm, where the classification algorithm, based on genetic information from a subject, predicts a therapeutic response of the subject to a therapeutic intervention.SELECTED DRAWING: Figure 1B"
"[[""Carcinoma"",90],[""Gene"",90],[""Biopsy"",90],[""Algorithm"",80]]","The present invention provides a method for predicting prognosis of hepatocellular carcinoma patients based on measurement of the relative level of expression of a combination of 15 immune genes of interest, or a subset thereof, in the tumors of such patients. Tumor material can come from surgical resection or biopsy. The relative gene expression information may be combined in an algorithm. The signature can be used by itself or in combination with other information such as stage information."
"[[""Cancer"",70],[""Acid"",90],[""Bayesian_inference"",80],[""Mixture_model"",90],[""Accounting"",60]]","Computer implemented methods and computer systems are provided for estimating cancer cell fractions indicating proportions of cancer cells carrying one or more mutations of interest using one or more nucleic acid samples from a subject. The methods and systems provided herein implement processes that use a variational Bayesian mixture model to cluster initial cancer cell fractions and obtain the one or more final cancer cell fractions, the initial cancer cell fractions accounting for cancer purity and copy numbers. The disclosed methods and systems improve accuracy, validity, and reliability of tests for cancer clonality, and save time, materials, cost, and computer resources required for the tests, which can help design more affective cancer treatments."
"[[""Genome"",60],[""DNA"",90],[""Zygosity"",90]]","Systems, methods, and apparatus for determining at least a portion of fetal genome are provided. DNA fragments from a maternal sample (maternal and fetal DNA) can be analyzed to identify alleles at certain loci. The amounts of DNA fragments of the respective alleles at these loci can be analyzed together to determine relative amounts of the haplotypes for these loci and determine which haplotypes have been inherited from the parental genomes. Loci where the parents are a specific combination of homozygous and heterozygous can be analyzed to determine regions of the fetal genome. Reference haplotypes common in the population can be used along with the analysis of the DNA fragments of the maternal sample to determine the maternal and paternal genomes. Determination of mutations, a fractional fetal DNA concentration in a maternal sample, and a proportion of coverage of a sequencing of the maternal sample can also be provided."
"[[""Vascular_endothelial_growth_factor"",80],[""Receptor_antagonist"",60]]",Methods and compositions to detect expression of one or more biomarkers for identifying and treating patients who are likely to be responsive to VEGF antagonist therapy are disclosed. Also disclosed are kits and articles of manufacture for use in the methods.
"[[""Glucose"",90],[""Adiponectin"",100],[""IL2RA"",90],[""Ferritin"",100],[""Insulin"",90],[""Assay"",60]]","A method of determining risk of diabetes is provided. In one embodiment, the method comprises: a) measuring the levels of a plurality of biomarkers in a blood samples obtained from a patient, wherein the plurality of biomarkers comprises at least five of the following biomarkers: glucose, adiponectin, CRP, IL2RA, ferritin, insulin and HbAIc; b) calculating a diabetes risk score for the patients using the levels and, optionally, patient age and/or gender. Results obtained from performing the assay on a reference population are similar or identical to those obtained using Formula I."
"[[""Digital_polymerase_chain_reaction"",60],[""Mathematical_optimization"",80],[""Dynamic_range"",80],[""Coating"",60],[""Polymerase_chain_reaction"",80]]","A computer-implemented method for designing a digital PCR (dPCR) experiment is provided. The method includes receiving, from a user, a selection of optimization type. The optimization type may be maximizing the dynamic range, minimizing the number of substrates including reaction sites needed for the experiment, determining a dilution factor, or determining the lower limit of detection, for example. The method further includes receiving, from the user, a precision measure for an experiment, and a minimum concentration of a target in a reaction site for the experiment. The method also includes determining a set of dPCR experiment design factors for the experiment based on the optimization type. The set of dPCR experiment design factors is then displayed to the user."
"[[""Genetic_marker"",90],[""Regression_analysis"",70]]","The present invention provides systems and method for constructing classifiers that distinguish between trait subgroups using molecular marker data from blood samples. The invention further encompasses the use of the classifiers and combinations of molecular markers identified by the classifiers in a wide variety of applications including: diagnosis; prognosis; prediction of disease, stage of disease or disease risk; monitoring disease progression and/or regression; monitoring disease reoccurrence and identifying risk of disease reoccurrence; determining and/or predicting response to treatment and/or treatment outcomes; monitoring and/or predicting treatment compliance or non compliance and the like. The invention further provides a variety of selected molecular markers and a means to identify combinations of the selected molecular markers useful for diagnosing particular traits of interest."
"[[""Acid"",90],[""Distributed_computing"",60],[""Genome"",90],[""Insertion_sequence"",60]]","PURPOSE: A nucleic acid sequences analysis method and an apparatus using distributed processing, and a distributed processing system for nucleic acid sequences analysis are provided to efficiently perform sorting works by applying a task arranging the nucleic acid sequence of gene samples in the nucleic acid sequence of a genome to the distributed processing environment. CONSTITUTION: A sequence receiver receives a plurality of input sequences about nucleic acid generated from samples(801). A node determination unit decides nodes which are going to be distributed for each insertion sequence(802). A distributed processing controller transmits the insertion sequences to the decided node(803). A sequence analyzer combines and analyzes distributed processing results received from each node(804). [Reference numerals] (801) Receiving a plurality of input sequences about nucleic acid generated from samples; (802) Deciding nodes which are going to be distributed for each insertion sequence based on the performance information of each node; (803) Transmitting the insertion sequences to the decided node; (804) Analyzing distributed processing results received from each node; (AA) Start; (BB) End"
"[[""Cancer"",70],[""Microsatellite_instability"",100],[""DNA"",90],[""Entropy"",90]]","For some cancers, microsatellite instability (MSI) in cell-free DNA can indicate the presence of a cancer in a subject. Subjects can generate a DNA sample for analysis to determine a likelihood that MSI exists and, thereby, determine a likelihood that the sample includes cancer. A system determines a likelihood that the sample includes MSI by selecting a set of markers from the sample and determining if those markers include MSI associated with cancer. The system determines if a marker is significant in by calculating: a viability score, a significance score, an entropy score, and a divergence score. The processing system determines an instability score representing a likelihood that the sample includes MSI based on the determined marker significances. Based on the instability score, the processing system can determine that a sample includes MSI and inform a method of treatment for the subject."
"[[""Clostridium"",100],[""Esophageal_cancer"",70],[""Carcinoma"",90],[""Biomarker"",90],[""Human_microbiota"",60],[""Fusobacterium"",100]]","The invention discloses a Clostridium paradentium as a esophageal squamous cell carcinoma biomarker and application thereof, wherein the microbial flora is Clostridium paradentium (Fusobacterium periodonticum). The oral cavity microbial marker has the potential as an esophageal squamous cell carcinoma biomarker, the abundance of the marker in esophageal squamous cell carcinoma tissues is obviously higher than that of paracarcinoma tissues, and the marker is an important risk factor for high incidence of esophageal squamous cell carcinoma. Therefore, by detecting the abundance of the microbial marker of the clostridium paradenticola, the method can predict the onset risk of the esophageal squamous cell carcinoma, can be used for screening and early diagnosis of high-risk groups of the esophageal squamous cell carcinoma, and provides intervention targets for prevention and clinical treatment of the groups of the esophageal squamous cell carcinoma."
[],"A method of analyzing biological data containing expression values of a plurality of polypeptides in the blood of a subject. The method comprises: calculating a distance between a segment of a curved line and an axis defined by a direction, the distance being calculated at a point over the curved line defined by a coordinate along the direction. The method further comprises correlating the distance to the presence of, absence of, or likelihood that the subject has, a bacterial infection. The coordinate is defined by a combination of the expression values, wherein at least 90% of the segment is between a lower bound line and an upper bound line."
"[[""Beef"",60],[""Gut_flora"",80],[""Feces"",60],[""Polymerase_chain_reaction"",80],[""Visual_cortex"",60],[""Library"",90],[""Illumina_dye_sequencing"",90],[""DNA_sequencing"",80],[""Ribosomal_RNA"",90],[""DNA"",90]]","The invention specifically discloses a method for evaluating beef quality characters based on intestinal flora, which comprises the following steps: s1 collecting and storing feces; s2 PCR amplification, designing primers according to a conventional biological method, carrying out PCR amplification by using universal primers 338F and 806R of a V3-V4 region of 16SrRNA, and preparing an upper computer library required by experimental process construction by using a standard Illumina TruSeq DNA library; s3 analyzing the diversity composition spectrum of the intestinal flora; s4 correlation analysis method. The method is based on a second-generation high-throughput sequencing technology, utilizes a 16S rRNA high-variable region in a fecal sample to calculate species composition and abundance of intestinal flora, performs correlation analysis on meat quality related characters of beef cattle, screens out biomarkers related to the meat quality characters through correlation of the intestinal flora and the meat quality related characters, and judges the meat quality characters of the beef cattle according to the biomarkers."
"[[""Gene"",90]]","The present invention provides compositions and methods for making and using a transcriptome-wide gene-expression profiling platform that measures the expression levels of only a select subset of the total number of transcripts. Because gene expression is believed to be highly correlated, direct measurement of a small number (for example, 1,000) of appropriately-selected transcripts allows the expression levels of the remainder to be inferred. The present invention, therefore, has the potential to reduce the cost and increase the throughput of full-transcriptome gene-expression profiling relative to the well-known conventional approaches that require all transcripts to be measured."
"[[""Machine_learning"",90],[""Gene"",90]]","A machine learning model-based essential gene identification method comprises the steps of: receiving, by an analysis apparatus, inputs of expression pattern information on genes of a specific cell; inputting, by the analysis apparatus, the expression pattern information to a machine learning model; and determining, by the analysis apparatus, whether a target gene from among the genes is essential in the survival of the cell, on the basis of information output by the machine learning model. The machine learning model comprises parameters which are trained based on a training data set, and the training data set comprises data for the gene expression of the specific cell and label values for whether the specific cell dies."
[],"The invention relates to a gene variation identification method, a device and a storage medium, wherein the method comprises the steps of acquiring at least one gene sequencing read segment which corresponds with a gene variation candidate site; according to the attribute information of at least one gene sequence read segment, determining a sequence characteristic and a non-sequence characteristic of a gene variation candidate site, wherein the sequence characteristic is a characteristic related with the position of the site; and based on the sequence characteristic and the non-sequence characteristic, identifying the gene variation of the gene variation candidate site. According to the gene variation identification method, the sequence characteristic and the non-sequence characteristic of the gene can be combined, thereby more comprehensively analyzing the characteristic of the gene variation site and improving accuracy in gene variation identification."
"[[""Organoid"",100],[""Phenotype"",90],[""Artificial_neural_network"",90]]","Systems and methods for identifying molecules that are biologically active against a disease, where the method can comprise culturing a first mammalian cell population under organoid formation conditions in the presence of a test molecule to obtain a first organoid, wherein the first mammalian cell population, when cultured under the organoid formation conditions in the absence of the test molecule, results in an organoid with a disease phenotype; imaging the first organoid following exposure to the test molecule; analyzing one or more images of the first organoid using a neural network that has been trained to assign a probability score of disease or non-disease ranging between 0% and 100%; assigning the first organoid a probability score ranging between 0% and 100%; wherein the test molecule is biologically active against the disease if the probability score of the first organoid is greater than a cutoff probability score of non-disease or lower than a cutoff probability score of disease."
"[[""Lung_cancer"",80],[""Gene_expression"",70]]",A method of providing a prognosis of lung cancer is conducted by analyzing the expressionof a group of genes. Gene expression profiles in a variety of medium such as microarraysare included as are kits that contain them.
"[[""Assay"",60],[""Gynaecology"",100],[""Cancer"",70]]","The present invention relates generally to the field of diagnostic and prognostic assays for a gynecological condition. More particularly, the present invention provides an assay for diagnosing the presence of or a risk of having a gynecological cancer or a sub-type thereof or a stage of the cancer or complications arising therefrom or other gynecological condition including an inflammatory disorder."
"[[""Convolution"",90],[""Ground_truth"",70]]","The technology disclosed relates to constructing a convolutional neural network-based classifier for variant classification. In particular, it relates to training a convolutional neural network-based classifier on training data using a backpropagation-based gradient update technique that progressively match outputs of the convolutional network network-based classifier with corresponding ground truth labels. The convolutional neural network-based classifier comprises groups of residual blocks, each group of residual blocks is parameterized by a number of convolution filters in the residual blocks, a convolution window size of the residual blocks, and an atrous convolution rate of the residual blocks, the size of convolution window varies between groups of residual blocks, the atrous convolution rate varies between groups of residual blocks. The training data includes benign training examples and pathogenic training examples of translated sequence pairs generated from benign variants and pathogenic variants."
"[[""Oligonucleotide"",90],[""DNA_microarray"",60],[""Principal_component_analysis"",100],[""Gene"",90]]","The present invention relates to correction method, apparatus and recording medium on an oligonucleotide microarray using Principal Component Analysis (PCA). More patricularly, the present invention relates to correction method, apparatus and recording medium on the oligonucleotide microarray using the correlation of probe set for detecting and correcting the faulty probe expression data in the outliers of the oligonucleatide microarray by applying PCA to each probe set of gene. Since the faulty probe data is corrected close to the normal value, the present invention makes it possible to remove the noise included in the oligonucleotide microarray, improve the accuracy and efficiency of chip experiment and analysis due to obtainment of accurate expression intensity data, and standardize the oligonucleotide chip data."
"[[""Genome-wide_association_study"",100],[""Gaussian_process"",100],[""Regression_analysis"",70],[""Radial_basis_function_network"",100],[""Allele"",90],[""Single-nucleotide_polymorphism"",100],[""Time_complexity"",60],[""Normal_distribution"",80]]",This disclosure presents a model for identifying correlations in genome-wide association studies (GWAS) with function-valued traits that provides increased power and computational efficiency by use of a Gaussian process regression with radial basis function (RBF) kernels to model the function-valued traits and specialized factorizations to achieve speed. A Gaussian Process is assigned to each partition for each allele of a given single nucleotide polymorphism (SNP) which yields flexible alternative models and handles a large number of data points in a way that is statistically and computationally efficient. This model provides techniques for handling missing and unaligned function values such as would occur when not all individuals are measured at the same time points. If the data is complete algebraic re-factorization by decomposition into Kronecker products reduces the time complexity of this model thereby increasing processing speed and reducing memory usage as compared to a naive implementation.
"[[""Convolution"",90],[""Ground_truth"",70]]","The technology disclosed relates to constructing a convolutional neural network-based classifier for variant classification. In particular, it relates to training a convolutional neural network-based classifier on training data using a backpropagation-based gradient update technique that progressively match outputs of the convolutional network network-based classifier with corresponding ground truth labels. The convolutional neural network-based classifier comprises groups of residual blocks, each group of residual blocks is parameterized by a number of convolution filters in the residual blocks, a convolution window size of the residual blocks, and an atrous convolution rate of the residual blocks, the size of convolution window varies between groups of residual blocks, the atrous convolution rate varies between groups of residual blocks. The training data includes benign training examples and pathogenic training examples of translated sequence pairs generated from benign variants and pathogenic variants."
"[[""Ribosomal_RNA"",90],[""Ribosomal_DNA"",60],[""DNA_sequencing"",60],[""16S_ribosomal_RNA"",80],[""Microorganism"",90],[""DNA"",90]]","The present disclosure relates to a method for obtaining rRNA sequence information, comprising the steps of calling an rDNA sequence from full-length genomic DNA sequence information, assembling the rDNA to form rDNA contigs; and extracting DNA sequence of 16S rRNA having high completeness from the rDNA contigs and correcting an assembly error, and a method for identifying a microorganism, using the rDNA information."
"[[""Nucleotide"",90],[""Reference_genome"",80],[""Genotyping"",70],[""Single-nucleotide_polymorphism"",100],[""DNA"",90],[""Human_genome"",90]]","Disclosed herein are systems and methods for performing secondary analyses of nucleotide sequencing data in a time-efficient manner. Some embodiments include performing a secondary analysis iteratively while sequence reads are generated by a sequencing system. Secondary analyses can encompass both alignment of sequence reads to a reference sequence (e.g., the human reference genome sequence) and utilization of this alignment to detect differences between a sample and the reference. Secondary analysis can enable detection of genetic differences, variant detection and genotyping, identification of single nucleotide polymorphisms (SNPs), small insertions and deletion (indels) and structural changes in the DNA, such as copy number variants (CNVs) and chromosomal rearrangements."
"[[""Biomarker"",90],[""Biological_specimen"",70],[""Expert_system"",100],[""Knowledge_base"",60]]","Personalized, health and performance programs are generated for individuals based on various biomarkers and performance and lifestyle assessments. In one embodiment, a diagnostic test of blood or other biological specimen(s) is used to determine key biological marker levels. Information and assessments of the user&#39;s physical performance, life style and health and wellness goals is also collected and provided to an expert system that matches the biomarker levels and assessments to a knowledgebase of scientific knowledge about biomarker levels and health and fitness outcomes. Personal recommendations and advice on nutrition and exercise is then generated, which may be used to help individuals reach their diet, fitness, and wellness goals and improve their physical and mental performance and well being in measurable ways."
"[[""Cancer"",70],[""Assay"",60],[""Methylation"",80]]","The present invention provides a cancer assay plate for targeted detection of multiple cancer specific methylation patterns. The invention also provides various methods comprising designing, manufacturing and using the cancer assay plate for diagnosing cancer."
"[[""Major_depressive_disorder"",80]]","The present invention relates to methods for the diagnosis and evaluation of depression treatment. In particular, patient test samples are analyzed for the presence and amount of members of a panel of markers comprising one or more specific markers for depression treatment and one or more non-specific markers for depression treatment. A variety of markers are disclosed for assembling a panel of markers for such diagnosis and evaluation. Algorithms for determining proper treatment are disclosed. In various aspects, the invention provides methods for the early detection and differentiation of depression treatment. Invention methods provide rapid, sensitive and specific assays that can greatly increase the number of patients that can receive beneficial treatment and therapy, reduce the costs associated with incorrect diagnosis, and provide important information about the prognosis of the patient."
