publication_number,abstract_text
US-2021350163-A1,"The technology disclosed attenuates spatial crosstalk from sequencing images for base calling. In particular, the technology disclosed accesses an image whose pixels depict intensity emissions from a target cluster and intensity emissions from additional adjacent clusters. The pixels include a center pixel that contains a center of the target cluster. Each pixel in the pixels is divisible into a plurality of subpixels. Depending upon a particular subpixel, in a plurality of subpixels of the center pixel, which contains the center of the target cluster, the technology disclosed selects, from a bank of subpixel lookup tables, a subpixel lookup table that corresponds to the particular subpixel. The selected subpixel lookup table contains pixel coefficients that are configured to maximizes a signal-to-noise ratio. The technology disclosed element-wise multiplies the pixel coefficients with the pixels and determines a weighted sum."
US-8935102-B2,"Methodology for the in vitro classification and/or prognosis of hepatocellular carcinoma (HCC) from a HCC sample is based on the determination of the expression profile of particular gene combinations. For example, in one embodiment, a method comprises measuring the expression level in an HCC sample of at least 8 genes selected from the group consisting of: RAB1A, REG3A, NRAS, RAMP3, MERTK, PIR, EPHA1, LAMA3, G0S2, HN1, PAK2, AFP, CYP2C9, CDH2, HAMP, SAE1, ADH6, DCN, FLJ10159, ALDH1L1, IGF1, LECT2, SLC38A1, SPARCL1, CTNNA2, GLUL, LEF1, MATN2, MME, PFN2, SPINT2, TBX3, and FGFR2; b) calculating 6 subgroup distances from the expression profile; and c) classifying the HCC tumor in the subgroup for which the subgroup distance is the lowest, wherein the 6 subgroups G1, G2, G3, G4, G5, and G6 are defined by the presence (+) or absence (−) of their clinical and genetic features."
CN-107766697-A,"The invention belongs to bioinformatics and supervised learning method and technology field, a kind of general cancer gene expression and the association analysis method that methylates are disclosed, difference expression gene and differential methylation site are filtered out using the sane t methods of inspection for combining linear model and Empirical Bayes；Differential gene and methylation sites are combined with protein reciprocation network, find significance difference opposite sex module using PPI protein reciprocation networks as framework；The sub-net module that false discovery rate FDR is more than threshold value is deleted, and obtains the sub-net module with statistical significance；Similar association mode and common regulatory gene between finding out gene expression and methylating.The present invention combines PPI networks, and finding influences the molecular pathway that cancer occurs, and finds algorithm using SPG modules, the sub-net module drawn has biological meaning.The pathogenic pattern of identical that the present invention is used to find between various cancers, so as to be preferably applied for cancer pathogenesis."
US-2017286593-A1,This disclosure presents a model for identifying correlations in genome-wide association studies (GWAS) with function-valued traits that provides increased power and computational efficiency by use of a Gaussian process regression with radial basis function (RBF) kernels to model the function-valued traits and specialized factorizations to achieve speed. A Gaussian Process is assigned to each partition for each allele of a given single nucleotide polymorphism (SNP) which yields flexible alternative models and handles a large number of data points in a way that is statistically and computationally efficient. This model provides techniques for handling missing and unaligned function values such as would occur when not all individuals are measured at the same time points. If the data is complete algebraic re-factorization by decomposition into Kronecker products reduces the time complexity of this model thereby increasing processing speed and reducing memory usage as compared to a naive implementation.
US-2019311789-A1,"Provided herein are computer implemented methods of evaluating, detecting, and identifying biomarkers of blood brain barrier disruption. Also provided herein are kits and methods for detecting blood brain barrier disruption in a subject."
EP-3961219-A2,"Provided herein are biomarkers useful for determining frailty, a biomarker signature for frailty, and methods of using the biomarkers to identify, classify, and treat a subject having frailty. Provided herein are also biomarkers useful for determining, identifying, classifying, and treating conditions associated with altered physical reserve, physical fitness, and exercise capacity."
MX-2014014277-A,"The present invention provides methods, databases and devices for establishing the first integration of social behavior with biological phenotypic measurements. In one embodiment, a method for correlating data from a sample database and a survey database is provided. The method comprises obtaining a sample comprising biological molecules from an individual, simultaneously obtaining survey data from the individual, storing the survey data in the survey database, analyzing the sample of biological molecules to determine the composition of biological molecules, storing the data from the composition in the sample database, and correlating the data from the sample database to the data from the survey database."
US-2005069936-A1,"The present invention relates to methods for the diagnosis and evaluation of depression treatment. In particular, patient test samples are analyzed for the presence and amount of members of a panel of markers comprising one or more specific markers for depression treatment and one or more non-specific markers for depression treatment. A variety of markers are disclosed for assembling a panel of markers for such diagnosis and evaluation. Algorithms for determining proper treatment are disclosed. In various aspects, the invention provides methods for the early detection and differentiation of depression treatment. Invention methods provide rapid, sensitive and specific assays that can greatly increase the number of patients that can receive beneficial treatment and therapy, reduce the costs associated with incorrect diagnosis, and provide important information about the prognosis of the patient."
US-2002095259-A1,"The invention provides a method of determining a comparative expression profile in an individual by comparing the expression levels of a sample of molecules in a population of molecules in a specimen from the individual with a health-associated reference expression region of the sample of molecules, wherein expression levels within the health-associated reference expression region indicate a reference expression profile and wherein expression levels outside the health-associated reference expression region indicate a perturbed expression profile. The invention also provides methods of diagnosing a disease or a health state in an individual by comparing the expression level of a sample of molecules in a specimen from the individual with a health-associated reference expression region of the sample of molecules. The invention additionally provides a method of classifying a population by drug responsiveness."
EP-1830289-A1,The present invention concerns methods for the in vitro classification and/or prognosis of hepatocellular carcinoma (HCC). The present methods are based on the determination of the expression profile of particular gene combinations.
US-2017206460-A1,"Systems and method for perturbing a system include obtaining directed acyclic/cyclic graph candidates {G I , . . . , G N } for the system. Each G i  in {G j , . . . G N } includes a causal relationship between a parent and child node. {G I , G N } demonstrate Markov equivalence. Observed data D is obtained for the nodes. For each respective G i , the marginal probability of a parent node x i  in G i  is clamped by D while computing a distribution of marginal probabilities for a child node y i , by Bayesian network or Dynamic Bayesian network belief propagation using an interaction function. The observed distribution for the child node y i , in D and the computed distribution of marginal probabilities for the child node y i  are scored using a nonparametric function, and such scores inform the selection of a directed/cyclic graph from {G I , . . . , G N }. The system is perturbed using a perturbation that relies upon a causal relationship in the selected directed acyclic/cyclic graph."
CA-2910327-A1,"Provided is a method of assessing whether a subject mammal has a target condition, comprising a step of formulating a function of abundances of a first group of biomarkers and abundances of a second group of biomarkers that is useful for assessing whether the subject mammal has the target condition. Also provided are a computer-aided system for assessing whether a subject mammal has a target condition and a computer-readable medium for assessing whether a subject mammal has a target condition."
US-2021158898-A1,"Provided herein are methods, processes, systems and machines for non-invasive assessment of genetic variations."
US-2016298188-A1,"A system and method for determining the genetic data for one or a small set of cells, or from fragmentary DNA, where a limited quantity of genetic data is available, are disclosed. Genetic data for the target individual is acquired and amplified using known methods, and poorly measured base pairs, missing alleles and missing regions are reconstructed using expected similarities between the target genome and the genome of genetically related subjects. In accordance with one embodiment of the invention; incomplete genetic data is acquired from embryonic cells, fetal cells, or cell-free fetal DNA isolated from the mother&#39;s blood, and the incomplete genetic data is reconstructed using the more complete genetic data from a larger sample diploid cells from one or both parents, with or without genetic data from haploid cells from one or both parents, and/or genetic data taken from other related individuals."
JP-2022043124-A,"To provide systems and methods for classifying cancer patients based on a predicted therapeutic response.SOLUTION: A recommender 290 generates a therapeutic response prediction or detects a disease by: a step of using a genetic analyzer to generate genetic information, which comprises a step of receiving in computer memory a training dataset comprising, for each of multiple individuals having a disease, genetic information from the individual generated at a first time point and a treatment response of the individual to one or more therapeutic interventions determined at a second, later, time point; and a step of implementing a machine learning algorithm using the dataset to generate at least one computer implemented classification algorithm, where the classification algorithm, based on genetic information from a subject, predicts a therapeutic response of the subject to a therapeutic intervention.SELECTED DRAWING: Figure 1B"
EP-2895978-A1,"A computer-implemented method for designing a digital PCR (dPCR) experiment is provided. The method includes receiving, from a user, a selection of optimization type. The optimization type may be maximizing the dynamic range, minimizing the number of substrates including reaction sites needed for the experiment, determining a dilution factor, or determining the lower limit of detection, for example. The method further includes receiving, from the user, a precision measure for an experiment, and a minimum concentration of a target in a reaction site for the experiment. The method also includes determining a set of dPCR experiment design factors for the experiment based on the optimization type. The set of dPCR experiment design factors is then displayed to the user."
US-2017073769-A1,"The present invention provides, inter alia, kits for selecting a chemotherapy regimen for a subject. The kits comprise one or more components for detecting the expression of at least one gene from the group of SLC12A7, GZMB, TAF6L, NFIB, METRN, ROPN1B, TTK, CCND1, PTTG1, H2AFZ, WDR45L, DEK, MCM2, USP1, CDT1, TMEM97, RER1, MCM6, LZTFL1, C11orf17, CCL5, XCL1, XCL2, MELK, CTSL2, TPX2, AURKA, CDKN2C, BRP44, PNP, SMC4, NR4A2, C3orf37, MTPAP, CDC25B, ABCF1, MTAP, SNAPC3, RANBP9, COIL, FAM86B1, ITGA6, S100P, RANBP1, PRSS16, SMARCA2, STK24, TSPYL5, SRI, LRP12, CENPF, TUBD1, KIAA1324, DBF4, CCNA2, DLGAP5, FHL1, SIRT3, GTSE1, PCNA, CCNE2, CHD3, CAP1, GPM6B, GUSBP3, GNAI3, LMO4, PSRC1, USP1, STK38, BAT2L1, PMP22, NME5, CENPA, BANK1, and derivatives thereof. Methods for selecting a chemotherapy regimen for a subject are also provided."
NZ-608459-A,"Discloses a method of predicting responsiveness of an individual to a DNA-damage therapeutic agent or diagnosing cancer associated with a DNA damage response deficiency, comprising a. measuring expression levels of at least five biomarkers in a test sample obtained previously from the individual, wherein the at least five biomarkers are selected from the group consisting of CXCL10, MX1, IDO1, IF144L, CD2, GBP5, PRAME, ITGAL, LRP4, and APOL3; b. deriving a test score that captures the combined increased expression level of the at least five biomarkers; c. providing a threshold score comprising information correlating the combined test score and responsiveness or diagnosis; d. and comparing the combined test score to the threshold score; wherein responsiveness to a DNA-damage therapeutic agent is predicted when the combined test score exceeds the threshold score."
AU-2011274422-A1,"The present application includes biomarkers, methods, devices, reagents, systems, and kits for the detection and diagnosis of lung cancer. In one aspect, the application provides biomarkers that can be used alone or in various combinations to diagnose lung cancer or permit the differential diagnosis of pulmonary nodules as benign or malignant. In another aspect, methods are provided for diagnosing lung cancer in an individual, where the methods include detecting, in a biological sample from an individual, at least one biomarker value corresponding to at least one biomarker selected from the group of biomarkers provided in Table 18, Table 20, or Table 21, wherein the individual is classified as having lung cancer, or the likelihood of the individual having lung cancer is determined, based on the at least one biomarker value."
CN-114231648-A,"The invention discloses a Clostridium paradentium as a esophageal squamous cell carcinoma biomarker and application thereof, wherein the microbial flora is Clostridium paradentium (Fusobacterium periodonticum). The oral cavity microbial marker has the potential as an esophageal squamous cell carcinoma biomarker, the abundance of the marker in esophageal squamous cell carcinoma tissues is obviously higher than that of paracarcinoma tissues, and the marker is an important risk factor for high incidence of esophageal squamous cell carcinoma. Therefore, by detecting the abundance of the microbial marker of the clostridium paradenticola, the method can predict the onset risk of the esophageal squamous cell carcinoma, can be used for screening and early diagnosis of high-risk groups of the esophageal squamous cell carcinoma, and provides intervention targets for prevention and clinical treatment of the groups of the esophageal squamous cell carcinoma."
CA-3067229-A1,"Computer implemented methods and computer systems are provided for estimating cancer cell fractions indicating proportions of cancer cells carrying one or more mutations of interest using one or more nucleic acid samples from a subject. The methods and systems provided herein implement processes that use a variational Bayesian mixture model to cluster initial cancer cell fractions and obtain the one or more final cancer cell fractions, the initial cancer cell fractions accounting for cancer purity and copy numbers. The disclosed methods and systems improve accuracy, validity, and reliability of tests for cancer clonality, and save time, materials, cost, and computer resources required for the tests, which can help design more affective cancer treatments."
CA-2554741-A1,There is provided a tool for effectively performing a meaningful analysis of a system state by using a specific index. A part having a peculiar behavior is extracted as an event timing from time-series data on an index derived from a system. An event descriptor describing the state of the system by using the event timing is generated. A method for generating the event descriptor associated with at least one system includes: a step (A) for acquiring time-series data on at least one index derived from at least one system; a step (B) for providing at least one peculiar behavior associated with the index; and a step (C) for extracting a part having the peculiar behavior as an event timing in the time-series data and generating an event descriptor described by the event timing.
US-2021372994-A1,"Systems and methods for identifying molecules that are biologically active against a disease, where the method can comprise culturing a first mammalian cell population under organoid formation conditions in the presence of a test molecule to obtain a first organoid, wherein the first mammalian cell population, when cultured under the organoid formation conditions in the absence of the test molecule, results in an organoid with a disease phenotype; imaging the first organoid following exposure to the test molecule; analyzing one or more images of the first organoid using a neural network that has been trained to assign a probability score of disease or non-disease ranging between 0% and 100%; assigning the first organoid a probability score ranging between 0% and 100%; wherein the test molecule is biologically active against the disease if the probability score of the first organoid is greater than a cutoff probability score of non-disease or lower than a cutoff probability score of disease."
KR-20120140037-A,"PURPOSE: A nucleic acid sequences analysis method and an apparatus using distributed processing, and a distributed processing system for nucleic acid sequences analysis are provided to efficiently perform sorting works by applying a task arranging the nucleic acid sequence of gene samples in the nucleic acid sequence of a genome to the distributed processing environment. CONSTITUTION: A sequence receiver receives a plurality of input sequences about nucleic acid generated from samples(801). A node determination unit decides nodes which are going to be distributed for each insertion sequence(802). A distributed processing controller transmits the insertion sequences to the decided node(803). A sequence analyzer combines and analyzes distributed processing results received from each node(804). [Reference numerals] (801) Receiving a plurality of input sequences about nucleic acid generated from samples; (802) Deciding nodes which are going to be distributed for each insertion sequence based on the performance information of each node; (803) Transmitting the insertion sequences to the decided node; (804) Analyzing distributed processing results received from each node; (AA) Start; (BB) End"
US-7366719-B2,"There is described a method for manipulation, storage, modeling, visualization, and quantification of datasets, which correspond to target strings. An iterative algorithm is used to generate comparison strings corresponding to some set of points that can serve as the domain of an iterative function. The comparison string is scored by evaluating a function having the comparison string and one of the plurality of target strings as inputs. The score measures a relationship between a comparison string and a target string. The evaluation may be repeated for a number of the other target strings. The score or some other property corresponding to the comparison string is used to determine the target string&#39;s placement on a map. The target string may also be marked by a point on a visual display."
US-10619195-B2,"The present invention provides compositions and methods for making and using a transcriptome-wide gene-expression profiling platform that measures the expression levels of only a select subset of the total number of transcripts. Because gene expression is believed to be highly correlated, direct measurement of a small number (for example, 1,000) of appropriately-selected transcripts allows the expression levels of the remainder to be inferred. The present invention, therefore, has the potential to reduce the cost and increase the throughput of full-transcriptome gene-expression profiling relative to the well-known conventional approaches that require all transcripts to be measured."
US-2013323731-A1,"Systems, methods, and apparatus for determining at least a portion of fetal genome are provided. DNA fragments from a maternal sample (maternal and fetal DNA) can be analyzed to identify alleles at certain loci. The amounts of DNA fragments of the respective alleles at these loci can be analyzed together to determine relative amounts of the haplotypes for these loci and determine which haplotypes have been inherited from the parental genomes. Loci where the parents are a specific combination of homozygous and heterozygous can be analyzed to determine regions of the fetal genome. Reference haplotypes common in the population can be used along with the analysis of the DNA fragments of the maternal sample to determine the maternal and paternal genomes. Determination of mutations, a fractional fetal DNA concentration in a maternal sample, and a proportion of coverage of a sequencing of the maternal sample can also be provided."
AU-2018352201-B2,"The technology disclosed relates to constructing a convolutional neural network-based classifier for variant classification. In particular, it relates to training a convolutional neural network-based classifier on training data using a backpropagation-based gradient update technique that progressively match outputs of the convolutional network network-based classifier with corresponding ground truth labels. The convolutional neural network-based classifier comprises groups of residual blocks, each group of residual blocks is parameterized by a number of convolution filters in the residual blocks, a convolution window size of the residual blocks, and an atrous convolution rate of the residual blocks, the size of convolution window varies between groups of residual blocks, the atrous convolution rate varies between groups of residual blocks. The training data includes benign training examples and pathogenic training examples of translated sequence pairs generated from benign variants and pathogenic variants."
US-2004241692-A1,"The present invention relates to correction method, apparatus and recording medium on an oligonucleotide microarray using Principal Component Analysis (PCA). More patricularly, the present invention relates to correction method, apparatus and recording medium on the oligonucleotide microarray using the correlation of probe set for detecting and correcting the faulty probe expression data in the outliers of the oligonucleatide microarray by applying PCA to each probe set of gene. Since the faulty probe data is corrected close to the normal value, the present invention makes it possible to remove the noise included in the oligonucleotide microarray, improve the accuracy and efficiency of chip experiment and analysis due to obtainment of accurate expression intensity data, and standardize the oligonucleotide chip data."
EP-3625711-A1,"The present invention relates to a method for calibrating a data set of a target analyte in a sample using an analyte-insusceptible signal value, wherein the analyte- insusceptible signal value is provided by a background-representing signal value of the data set or by a total signal change value of a standard data set. The present method is very convenient and effective in removing the inter- and intra-instrument signal variations of data sets. Furthermore, since the present method can be configured in software, the instant method is capable of being applied universally to various analytical instruments (e.g., a real- time PCR instrument) regardless of manufacturer. Accordingly, the method by the present invention would be very useful in diagnostic data analysis."
US-2014310019-A1,"Personalized, health and performance programs are generated for individuals based on various biomarkers and performance and lifestyle assessments. In one embodiment, a diagnostic test of blood or other biological specimen(s) is used to determine key biological marker levels. Information and assessments of the user&#39;s physical performance, life style and health and wellness goals is also collected and provided to an expert system that matches the biomarker levels and assessments to a knowledgebase of scientific knowledge about biomarker levels and health and fitness outcomes. Personal recommendations and advice on nutrition and exercise is then generated, which may be used to help individuals reach their diet, fitness, and wellness goals and improve their physical and mental performance and well being in measurable ways."
US-2019119717-A1,"The present disclosure relates to a method for obtaining rRNA sequence information, comprising the steps of calling an rDNA sequence from full-length genomic DNA sequence information, assembling the rDNA to form rDNA contigs; and extracting DNA sequence of 16S rRNA having high completeness from the rDNA contigs and correcting an assembly error, and a method for identifying a microorganism, using the rDNA information."
US-9740819-B2,"A method of determining risk of diabetes is provided. In one embodiment, the method comprises: a) measuring the levels of a plurality of biomarkers in a blood samples obtained from a patient, wherein the plurality of biomarkers comprises at least five of the following biomarkers: glucose, adiponectin, CRP, IL2RA, ferritin, insulin and HbAIc; b) calculating a diabetes risk score for the patients using the levels and, optionally, patient age and/or gender. Results obtained from performing the assay on a reference population are similar or identical to those obtained using Formula I."
EP-3062252-A1,"The present invention relates to a reference substance and a nucleic acid chip for generating binding information on biomolecules and analysis single-stranded nucleic acids in a biosample composed of biomolecules; a method for preparing the same; and a method for analyzing biomolecules using the same, and the reference substance and the nucleic acid chip can be used for analyzing the biological significance of the biomolecules. In addition, the present invention relates to a method for preparing an external reference substance and a biochip for generating the binding information on biomolecules and ligands; and a method for analyzing biomolecules using the same. The external reference substance and the biochip of the present invention can be used in the field of analyzing the biological significance of the biomolecules."
JP-2006114037-A,"&lt;P&gt;PROBLEM TO BE SOLVED: To correctly determine whether or not an anomaly value of data related to a gene is statistically valid.  &lt;P&gt;SOLUTION: This application relates to a method for statistically analyzing apparent anomalies in CGH data, wherein the CGH data is arrayed corresponding to locations of substance on chromosomes from which the CGH data was derived. A set of CGH ratio values is considered and Z-score values are computed for each CGH ratio value (106). The Z-score values are classified based upon a predetermined cutoff value (108). The number of Z-scores that are greater than a predetermined cutoff value is counted, the number of Z-scores that are less than a negative of the predetermined cutoff value is counted, and the total number of Z-scores is counted. A subset of the set of CGH ratios is considered, being defined by a window of predetermined size. A secondary Z-score is computed to obtain the significance of at least one of overabundance and underabundance of at least one of significant positive deviations and significant negative deviations in the subset.  &lt;P&gt;COPYRIGHT: (C)2006,JPO&amp;NCIPI"
US-7991557-B2,"The present invention provides systems and method for constructing classifiers that distinguish between trait subgroups using molecular marker data from blood samples. The invention further encompasses the use of the classifiers and combinations of molecular markers identified by the classifiers in a wide variety of applications including: diagnosis; prognosis; prediction of disease, stage of disease or disease risk; monitoring disease progression and/or regression; monitoring disease reoccurrence and identifying risk of disease reoccurrence; determining and/or predicting response to treatment and/or treatment outcomes; monitoring and/or predicting treatment compliance or non compliance and the like. The invention further provides a variety of selected molecular markers and a means to identify combinations of the selected molecular markers useful for diagnosing particular traits of interest."
CN-113286881-A,"The present invention provides a cancer assay plate for targeted detection of multiple cancer specific methylation patterns. The invention also provides various methods comprising designing, manufacturing and using the cancer assay plate for diagnosing cancer."
CA-2954601-A1,"A method of analyzing biological data containing expression values of a plurality of polypeptides in the blood of a subject. The method comprises: calculating a distance between a segment of a curved line and an axis defined by a direction, the distance being calculated at a point over the curved line defined by a coordinate along the direction. The method further comprises correlating the distance to the presence of, absence of, or likelihood that the subject has, a bacterial infection. The coordinate is defined by a combination of the expression values, wherein at least 90% of the segment is between a lower bound line and an upper bound line."
EP-1644858-A4,"The present invention provides a noninvasive, quantitative test for prognosis determination in cancer patients. The test relies on measurements of the tumor levels of certain messenger RNAs (mRNAs). These mRNA levels are inserted into a polynomial formula (algorithm) that yields a numerical recurrence score, which indicates recurrence risk."
CA-3110884-A1,"Systems and methods for using determination of base modification in analyzing nucleic acid molecules and acquiring data for analysis of nucleic acid molecules are described herein. Base modifications may include methylations. Methods to determine base modifications may include using features derived from sequencing. These features may include the pulse width of an optical signal from sequencing bases, the interpulse duration of bases, and the identity of the bases. Machine learning models can be trained to detect the base modifications using these features. The relative modification or methylation levels between haplotypes may indicate a disorder. Modification or methylation statuses may also be used to detect chimeric molecules."
WO-2019133937-A8,"For some cancers, microsatellite instability (MSI) in cell-free DNA can indicate the presence of a cancer in a subject. Subjects can generate a DNA sample for analysis to determine a likelihood that MSI exists and, thereby, determine a likelihood that the sample includes cancer. A system determines a likelihood that the sample includes MSI by selecting a set of markers from the sample and determining if those markers include MSI associated with cancer. The system determines if a marker is significant in by calculating: a viability score, a significance score, an entropy score, and a divergence score. The processing system determines an instability score representing a likelihood that the sample includes MSI based on the determined marker significances. Based on the instability score, the processing system can determine that a sample includes MSI and inform a method of treatment for the subject."
EP-3276516-A1,"A system and method for identification of key driver responsible for bringing changes in a microbial population is provided. The method involves construction of microbial association networks with each microbial taxa as nodes and their associations as edges and subsequent identification of crucial &#39;driver&#39; nodes involved in the studied disease progression. While comparing a particular node between two networks, this method takes individual nodes and their associations into account as well as the identity of their interacting partners. A taxon in the diseased state with an altered set of associations while still being increasingly important for the whole network necessarily holds a key significance in microbial interplay. Using this rationale, this methodology computes a score to quantify this change for each node and calculates its statistical significance. Subsequently, &#39;driver&#39; nodes are identified using the score coupled with other network parameters and a critical score for the &#39;driver&#39; nodes is calculated to quantify its importance."
JP-2021072778-A,"To provide a system and a method for generating a molecular function (MF) profile of an object, and identifying an existing MF profile cluster related to the generated MF profile.SOLUTION: A system comprises: at least one computer hardware processor; at least one non-transient computer readable storage medium which stores a command capable of being executed by a processor. A method comprise: a step for acquiring RNA expression data and/or whole exome sequence determination (WES) data of a biological specimen derived from an object; a step for at least partially determining a gene group expression level of each gene group of one set of gene groups by using the RNA expression data, for determining a MF profile of the object; and a step for identifying a MF profile cluster with which the MF profile of the object is associated, among a plurality of MF profile clusters.SELECTED DRAWING: None"
US-7024312-B1,"“In silico” nucleic acid recombination methods, related integrated systems utilizing genetic operators and libraries made by in silico shuffling methods are provided."
TW-202036582-A,"The invention relates to a gene variation identification method, a device and a storage medium, wherein the method comprises the steps of acquiring at least one gene sequencing read segment which corresponds with a gene variation candidate site; according to the attribute information of at least one gene sequence read segment, determining a sequence characteristic and a non-sequence characteristic of a gene variation candidate site, wherein the sequence characteristic is a characteristic related with the position of the site; and based on the sequence characteristic and the non-sequence characteristic, identifying the gene variation of the gene variation candidate site. According to the gene variation identification method, the sequence characteristic and the non-sequence characteristic of the gene can be combined, thereby more comprehensively analyzing the characteristic of the gene variation site and improving accuracy in gene variation identification."
CN-113889180-A,"The invention discloses a biomarker identification method and system based on dynamic network entropy, wherein the method comprises the following steps: acquiring disease-related functional gene pathways and gene interaction to generate gene network pathways; obtaining gene expression data corresponding to different stages of the disease for genes in the gene network pathway; calculating the channel entropy of each channel in the gene network channels for different stages of the disease based on the dynamic network entropy; and determining the path with identification effect on the disease by performing statistical analysis on the path entropy of each path at different stages of the disease. According to the invention, through constructing a gene network path, the information measurement is carried out on the paths at different stages of the disease by adopting entropy, and through analyzing the change of the entropy, the gene path biomarker related to the disease progression can be accurately identified."
CN-110428867-A,"The invention discloses the on-line analysis system and its method of a kind of gene human brain spatial and temporal expression profile, reference database platform includes human brain gene spatial and temporal expression norm, thousand human genome databases, Ensembl database and dbSNP database；Human brain gene spatial and temporal expression norm is based on constructed each brain area and the Spatial-Temporal Frame of each stage of development, the expression matrix mode of gene or netic module between each brain area and each stage of development that formed and the enrichment expression matrix mode between netic module and cell type；Data analysis module is equipped in server end；Gene set data input module and graphical visual module are equipped in client, server end carries out spatiotemporal simulation to the gene set data inputted, and is graphically presented genetic analysis result by graphical visual module.The present invention generates user friendly and understandable visualization result in client, helps the spatial and temporal expression profile for illustrating gene complexity, and reflect the relationship between analyzed gene."
CA-3053133-A1,"The present disclosure provides compositions and methods for isolating HLA-peptides from cells. The present disclosure provides a universal platform and methods for profiling the HLA-peptidome, enabling identification of endogenously presented HLA-peptides from cell lines expressing any possible class I or II construct."
